,CityID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Hotel Name
28,3430863,Mar del Plata,-38.0023,-57.5575,71.1,93,0,6.91,AR,1672970289,NH Gran Hotel Provincial
69,4013679,Coahuayana Viejo,18.7333,-103.6833,72.79,92,0,0.67,MX,1672970610,Hotel Los Arcos
100,4004293,Ixtapa,20.7,-105.2,74.23,76,0,1.5,MX,1672970434,hotel la terminal
139,4026082,Lázaro Cárdenas,17.9583,-102.2,75.81,83,0,2.68,MX,1672970634,Baymont by Wyndham Lazaro Cardenas
166,3985710,Cabo San Lucas,22.8909,-109.9124,74.52,70,0,8.05,MX,1672970644,Solmar Resort
202,3522156,Palizada,18.25,-92.0833,71.31,94,0,4.34,MX,1672970666,Hotel San Joaquín Palizada
232,3395981,Maceió,-9.6658,-35.7353,74.64,94,0,2.3,BR,1672970412,Hotel
290,2071860,Esperance,-33.8667,121.9,76.98,45,0,8.43,AU,1672970698,Hospitality Esperance
294,3436943,Santiago,-27.15,-56.7833,74.1,34,0,2.08,PY,1672970699,HOTEL
307,1337612,Dhidhdhoo,6.8833,73.1,79.48,67,0,7.29,MV,1672970706,Veli Inn
336,3520994,Puerto Escondido,15.85,-97.0667,79.63,69,0,0.0,MX,1672970699,Villas Carrizalillo Hotel
